timestamp,session_id,cfg,frame,sub_frame,version,platform,time_cpu_cycles,num_detected_obj,num_tlvs,packet_len,tlv_summary,presence_indication,point_count,target_count,target_index_count,vital_count,unknown_tlv_summary
1783488763.101,aop6m_test_02,vital_signs_AOP_6m.cfg,459,0,50659332,682051,0,0,3,183,1010:112;1011:3;1021:4,1,0,1,3,0,
1783488763.205,aop6m_test_02,vital_signs_AOP_6m.cfg,460,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488763.288,aop6m_test_02,vital_signs_AOP_6m.cfg,461,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488763.371,aop6m_test_02,vital_signs_AOP_6m.cfg,462,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488763.476,aop6m_test_02,vital_signs_AOP_6m.cfg,463,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488763.602,aop6m_test_02,vital_signs_AOP_6m.cfg,464,0,50659332,682051,0,0,3,316,1010:112;1021:4;1040:136,1,0,1,0,1,
1783488763.645,aop6m_test_02,vital_signs_AOP_6m.cfg,465,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488763.728,aop6m_test_02,vital_signs_AOP_6m.cfg,466,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488763.832,aop6m_test_02,vital_signs_AOP_6m.cfg,467,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488763.916,aop6m_test_02,vital_signs_AOP_6m.cfg,468,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488764.021,aop6m_test_02,vital_signs_AOP_6m.cfg,469,0,50659332,682051,0,22,3,376,1020:196;1010:112;1021:4,1,22,1,0,0,
1783488764.087,aop6m_test_02,vital_signs_AOP_6m.cfg,470,0,50659332,682051,0,0,3,202,1010:112;1011:22;1021:4,1,0,1,22,0,
