timestamp,session_id,cfg,frame,sub_frame,point_index,tlv_type,point_format,x_m,y_m,z_m,range_m,azimuth_rad,elevation_rad,doppler_mps,snr_db,noise_db,raw_range,raw_azimuth,raw_elevation,raw_doppler,raw_snr,raw_noise,range_unit,azimuth_unit,elevation_unit,doppler_unit,snr_unit
1783488722.795,aop6m_test_02,vital_signs_AOP_6m.cfg,11,0,0,1020,compressed_spherical,-0.078465,0.650737,-0.231857,0.695250,-0.120000,-0.340000,-8.559320,10.760000,,2781,-12,-34,-30569,269,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488722.795,aop6m_test_02,vital_signs_AOP_6m.cfg,11,0,1,1020,compressed_spherical,-0.062940,0.627303,0.044204,0.632000,-0.100000,0.070000,7.738080,8.240000,,2528,-10,7,27636,206,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488722.795,aop6m_test_02,vital_signs_AOP_6m.cfg,11,0,2,1020,compressed_spherical,-0.071365,0.711273,-0.252867,0.758250,-0.100000,-0.340000,-4.737600,8.520000,,3033,-10,-34,-16920,213,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488722.878,aop6m_test_02,vital_signs_AOP_6m.cfg,12,0,0,1020,compressed_spherical,0.000000,0.774473,-0.273960,0.821500,0.000000,-0.340000,-0.315840,5.360000,,3286,0,-34,-1128,134,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488722.878,aop6m_test_02,vital_signs_AOP_6m.cfg,12,0,1,1020,compressed_spherical,0.007148,0.714808,-0.252867,0.758250,0.010000,-0.340000,-0.315840,6.760000,,3033,1,-34,-1128,169,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488722.963,aop6m_test_02,vital_signs_AOP_6m.cfg,13,0,0,1020,compressed_spherical,-0.039303,0.654271,-0.231857,0.695250,-0.060000,-0.340000,8.369760,10.520000,,2781,-6,-34,29892,263,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488722.963,aop6m_test_02,vital_signs_AOP_6m.cfg,13,0,1,1020,compressed_spherical,-0.028586,0.714272,-0.252867,0.758250,-0.040000,-0.340000,0.315840,13.520000,,3033,-4,-34,1128,338,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488722.963,aop6m_test_02,vital_signs_AOP_6m.cfg,13,0,2,1020,compressed_spherical,0.000000,0.774473,-0.273960,0.821500,0.000000,-0.340000,0.315840,7.880000,,3286,0,-34,1128,197,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.048,aop6m_test_02,vital_signs_AOP_6m.cfg,14,0,0,1020,compressed_spherical,-0.046159,0.658340,-0.218702,0.695250,-0.070000,-0.320000,-4.737600,6.000000,,2781,-7,-32,-16920,150,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.048,aop6m_test_02,vital_signs_AOP_6m.cfg,14,0,1,1020,compressed_spherical,-0.049998,0.713093,-0.252867,0.758250,-0.070000,-0.340000,0.315840,9.240000,,3033,-7,-34,1128,231,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
