timestamp,session_id,cfg,frame,sub_frame,point_index,target_index,raw_target_index
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,6,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,7,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,8,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,9,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,10,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,11,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,12,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,13,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,14,254,254
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,15,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,16,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,17,254,254
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,18,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,19,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,20,254,254
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,21,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,22,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,23,254,254
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,24,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,25,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,26,254,254
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,27,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,28,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,29,254,254
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,30,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,31,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,32,254,254
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,33,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,34,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,35,254,254
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,36,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,37,254,254
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,38,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,39,254,254
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,40,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,41,254,254
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,42,255,255
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,43,254,254
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,0,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,1,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,2,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,3,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,4,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,5,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,6,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,7,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,8,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,9,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,10,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,11,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,12,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,13,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,14,255,255
