"main_label","person_count","lying_count","moving_count","breathing_count","scenario_note","source","estimated_time_sec","frame","num_detected_obj","num_tlvs","packet_len","tlv_summary","has_vital","target_id","range_bin","breath_deviation","heart_rate","breath_rate","raw_radar","raw_vital"
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","106.29","1184","1","5","361","1020:28;1010:112;1011:1;1021:4;1040:136","1","0","75","0.0151","65.3","18.4","RADAR,1184,1,5,361,1020:28;1010:112;1011:1;1021:4;1040:136","VITAL,1184,id=0,rangeBin=75,breathDev=0.0151,heartRate=65.3,breathRate=18.4"
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","106.92","1191","0","2","172","1010:112;1021:4","0","","","","","","RADAR,1191,0,2,172,1010:112;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","107.46","1197","0","2","172","1010:112;1021:4","0","","","","","","RADAR,1197,0,2,172,1010:112;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","108.00","1203","0","2","172","1010:112;1021:4","0","","","","","","RADAR,1203,0,2,172,1010:112;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","108.54","1209","0","2","172","1010:112;1021:4","0","","","","","","RADAR,1209,0,2,172,1010:112;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","109.08","1215","3","3","224","1020:44;1010:112;1021:4","0","","","","","","RADAR,1215,3,3,224,1020:44;1010:112;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","109.62","1221","0","2","172","1010:112;1021:4","0","","","","","","RADAR,1221,0,2,172,1010:112;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","110.16","1227","1","4","219","1020:28;1010:112;1011:3;1021:4","0","","","","","","RADAR,1227,1,4,219,1020:28;1010:112;1011:3;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","110.70","1233","0","2","172","1010:112;1021:4","0","","","","","","RADAR,1233,0,2,172,1010:112;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","111.24","1239","0","2","172","1010:112;1021:4","0","","","","","","RADAR,1239,0,2,172,1010:112;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","111.78","1245","0","2","172","1010:112;1021:4","0","","","","","","RADAR,1245,0,2,172,1010:112;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","112.32","1251","116","4","1142","1020:948;1010:112;1011:6;1021:4","0","","","","","","RADAR,1251,116,4,1142,1020:948;1010:112;1011:6;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","112.86","1257","86","4","958","1020:708;1010:112;1011:62;1021:4","0","","","","","","RADAR,1257,86,4,958,1020:708;1010:112;1011:62;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","113.40","1263","58","4","797","1020:484;1010:112;1011:125;1021:4","0","","","","","","RADAR,1263,58,4,797,1020:484;1010:112;1011:125;1021:4",""
